[2026-08-07T19:01:05.603Z] GET http://localhost:8777/index.html → 200 (211ms, 5551B)
[2026-08-07T19:01:05.821Z] GET http://localhost:8777/css/style.css → 200 (11ms, 12040B)
[2026-08-07T19:01:05.821Z] GET http://localhost:8777/js/manseryeok.js → 200 (71ms, 14405B)
[2026-08-07T19:01:05.822Z] GET http://localhost:8777/js/counsel.js → 200 (71ms, 26604B)
[2026-08-07T19:01:05.822Z] GET http://localhost:8777/js/app.js → 200 (71ms, 10195B)
[2026-08-07T19:02:05.087Z] GET http://localhost:8777/index.html → 200 (4ms, 5551B)
[2026-08-07T19:02:05.095Z] GET http://localhost:8777/css/style.css → 304 (1ms, ?B)
[2026-08-07T19:02:05.095Z] GET http://localhost:8777/js/manseryeok.js → 304 (4ms, ?B)
[2026-08-07T19:02:05.095Z] GET http://localhost:8777/js/counsel.js → 304 (5ms, ?B)
[2026-08-07T19:02:05.095Z] GET http://localhost:8777/js/app.js → 304 (6ms, ?B)
[2026-08-07T19:18:53.494Z] GET http://localhost:8777/index.html → 200 (11ms, 5620B)
[2026-08-07T19:18:53.516Z] GET http://localhost:8777/css/style.css → 200 (7ms, 12129B)
[2026-08-07T19:18:53.516Z] GET http://localhost:8777/js/vendor/astronomy.browser.min.js → 200 (12ms, 116424B)
[2026-08-07T19:18:53.516Z] GET http://localhost:8777/js/manseryeok.js → 200 (10ms, 17881B)
[2026-08-07T19:18:53.516Z] GET http://localhost:8777/js/counsel.js → 200 (12ms, 27847B)
[2026-08-07T19:18:53.516Z] GET http://localhost:8777/js/app.js → 200 (11ms, 11620B)
[2026-08-07T19:18:54.861Z] GET http://localhost:8777/index.html → 200 (7ms, 5620B)
[2026-08-07T19:18:54.874Z] GET http://localhost:8777/css/style.css → 200 (?ms, 12129B)
[2026-08-07T19:18:54.875Z] GET http://localhost:8777/js/vendor/astronomy.browser.min.js → 200 (?ms, 116424B)
[2026-08-07T19:18:54.876Z] GET http://localhost:8777/js/manseryeok.js → 200 (?ms, 17881B)
[2026-08-07T19:18:54.876Z] GET http://localhost:8777/js/counsel.js → 200 (?ms, 27847B)
[2026-08-07T19:18:54.876Z] GET http://localhost:8777/js/app.js → 200 (?ms, 11620B)
[2026-08-07T19:20:15.677Z] GET http://localhost:8777/index.html → 200 (4ms, 5739B)
[2026-08-07T19:20:15.687Z] GET http://localhost:8777/css/style.css → 304 (23ms, ?B)
[2026-08-07T19:20:15.687Z] GET http://localhost:8777/js/vendor/astronomy.browser.min.js → 304 (24ms, ?B)
[2026-08-07T19:20:15.687Z] GET http://localhost:8777/js/manseryeok.js → 304 (29ms, ?B)
[2026-08-07T19:20:15.687Z] GET http://localhost:8777/js/counsel.js → 304 (29ms, ?B)
[2026-08-07T19:20:15.687Z] GET http://localhost:8777/js/app.js → 304 (29ms, ?B)
[2026-08-07T19:22:53.614Z] GET http://localhost:8777/index.html → 200 (8ms, 5739B)
[2026-08-07T19:22:53.628Z] GET http://localhost:8777/css/style.css → 304 (2ms, ?B)
[2026-08-07T19:22:53.628Z] GET http://localhost:8777/js/vendor/astronomy.browser.min.js → 304 (4ms, ?B)
[2026-08-07T19:22:53.628Z] GET http://localhost:8777/js/manseryeok.js → 304 (5ms, ?B)
[2026-08-07T19:22:53.628Z] GET http://localhost:8777/js/counsel.js → 304 (6ms, ?B)
[2026-08-07T19:22:53.628Z] GET http://localhost:8777/js/app.js → 304 (6ms, ?B)
[2026-08-07T19:31:03.478Z] GET http://localhost:8777/index.html → 200 (5ms, 5739B)
[2026-08-07T19:31:03.487Z] GET http://localhost:8777/css/style.css → 304 (1ms, ?B)
[2026-08-07T19:31:03.487Z] GET http://localhost:8777/js/vendor/astronomy.browser.min.js → 304 (2ms, ?B)
[2026-08-07T19:31:03.488Z] GET http://localhost:8777/js/manseryeok.js → 200 (2ms, 19336B)
[2026-08-07T19:31:03.488Z] GET http://localhost:8777/js/counsel.js → 200 (2ms, 28058B)
[2026-08-07T19:31:03.488Z] GET http://localhost:8777/js/app.js → 200 (3ms, 12487B)
